86,2154,0010000101010100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
87,2158,0010000101011000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
88,215C,0010000101011100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
89,2160,0010000101100000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
90,2164,0010000101100100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
91,2168,0010000101101000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
92,216C,0010000101101100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
93,2170,0010000101110000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
94,2174,0010000101110100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
95,2178,0010000101111000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
96,217C,0010000101111100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
97,2180,0010000110000000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
98,2184,0010000110000100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
99,2188,0010000110001000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
100,218C,0010000110001100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
101,2190,0010000110010000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
102,2194,0010000110010100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
103,2198,0010000110011000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
104,219C,0010000110011100,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
105,21A0,0010000110100000,0000000000000000,0000000000000000,,2015-04-06 17:07:43,2015-04-06 17:07:43
